total_damage,total_damage_taken,total_time,exp,healing,sword,lance,axe,rapier,sai,sword_use_time,lance_use_time,axe_use_time,rapier_use_time,sai_use_time
1229,74,51.35,1135,96,105,210,220,144,60,7,7,11,18,6
785,34,34.64,710,48,105,180,80,40,80,7,6,4,5,8
75,0,4.64,75,0,45,0,0,0,0,3,0,0,0,0
899,174,47.16,825,96,135,60,80,104,120,9,2,4,13,12
4003.6,142,203.58,3415,216,375,780,240,264,410,25,26,12,33,41
725,168,32.5,560,72,45,60,160,40,120,3,2,8,5,12
930,76,33.9,885,48,210,60,160,0,130,14,2,8,0,13
335,126,14.56,250,24,45,60,120,0,0,3,2,6,0,0
1221,228,97.38,1150,168,315,90,60,80,90,21,3,3,10,9
859,62,35.7,775,96,105,150,100,24,140,7,5,5,3,14
903,162,44.5,785,72,195,270,20,48,40,13,9,1,6,4
0,0,4.03,0,0,0,0,0,0,0,0,0,0,0,0
